tweet,lemmatized_tweet,label
وش دخل رونالدو مانشيستر ايام مدريد كلامي واضح يشجع ارسنال وهاذي تغريداته ايام مورينهو اذكرها زمان يكره اليونايتد يشجع النادي الفاشل اللي انت تشجعه عشنا وشفنا ارسنالي يدافع اليونايتد وفيغورست سبيل التقليل رونالدو يضحك,"['وش', 'دخل', 'رونالدو', 'مانشيستر', 'ايام', 'مدريد', 'كلامي', 'واضح', 'يشجع', 'ارسنال', 'وهاذي', 'تغريداته', 'ايام', 'مورينهو', 'اذكرها', 'زمان', 'يكره', 'اليونايتد', 'يشجع', 'النادي', 'الفاشل', 'اللي', 'انت', 'تشجعه', 'عشنا', 'وشفنا', 'ارسنالي', 'يدافع', 'اليونايتد', 'وفيغورست', 'سبيل', 'التقليل', 'رونالدو', 'يضحك']",hate
كالعادة طحلبي عندهم ذوق الكرة موسم الاخطاء المباراة الهلال انتهت بنتيجة,"['كالعادة', 'طحلبي', 'عندهم', 'ذوق', 'الكرة', 'موسم', 'الاخطاء', 'المباراة', 'الهلال', 'انتهت', 'بنتيجة']",hate
فيديو رايس النصر مسلي آل معمر صفقه كريستيانو رونالدو الاخيره لنادي النصر الموسم,"['فيديو', 'رايس', 'النصر', 'مسلي', 'آل', 'معمر', 'صفقه', 'كريستيانو', 'رونالدو', 'الاخيره', 'لنادي', 'النصر', 'الموسم']",not
حمار داعسك اربعه الرحمه باطفال وانا العب بالدوري الاوروبي شايف ايش فريقك وضيع قدام برشلونه وبايرن يخسي يقارن حتي برشلونه اذا مقياسك نتايج اجل سرقسطه اكبر فريقك الوضيع لانه دعسك سته صغير للتذكير طفل برشلونه الوحيد اللي حقق الثلاثيه مرتين اللي تحلم,"['حمار', 'داعسك', 'اربعه', 'الرحمه', 'باطفال', 'وانا', 'العب', 'بالدوري', 'الاوروبي', 'شايف', 'ايش', 'فريقك', 'وضيع', 'قدام', 'برشلونه', 'وبايرن', 'يخسي', 'يقارن', 'حتي', 'برشلونه', 'اذا', 'مقياسك', 'نتايج', 'اجل', 'سرقسطه', 'اكبر', 'فريقك', 'الوضيع', 'لانه', 'دعسك', 'سته', 'صغير', 'للتذكير', 'طفل', 'برشلونه', 'الوحيد', 'اللي', 'حقق', 'الثلاثيه', 'مرتين', 'اللي', 'تحلم']",hate
كسب القضايا اهم البطولات استمر مسلي ونحن معك ارحليامسلي الهلالالنصر,"['كسب', 'القضايا', 'اهم', 'البطولات', 'استمر', 'مسلي', 'ونحن', 'معك', 'ارحليامسلي', 'الهلالالنصر']",not
فقراوي يعرفون يلعبون الضغط خيبوا الآمال,"['فقراوي', 'يعرفون', 'يلعبون', 'الضغط', 'خيبوا', 'الآمال']",hate
مسلي ال معمر شخصيه اعلاميه وبجده اجتهاده كسب ثقه اعضا شرف ناديه الوزاره بتعينه رايسا لاول عالمي آسيا نادي النصر اما انت تطرد قناه وتروح لقناه تطرد حتي ناديك طردوك,"['مسلي', 'ال', 'معمر', 'شخصيه', 'اعلاميه', 'وبجده', 'اجتهاده', 'كسب', 'ثقه', 'اعضا', 'شرف', 'ناديه', 'الوزاره', 'بتعينه', 'رايسا', 'لاول', 'عالمي', 'آسيا', 'نادي', 'النصر', 'اما', 'انت', 'تطرد', 'قناه', 'وتروح', 'لقناه', 'تطرد', 'حتي', 'ناديك', 'طردوك']",not
النتيجة متوقعة لمن يعتمدون ناس خدمي المباراة ضمك انتهت بنتيجة,"['النتيجة', 'متوقعة', 'لمن', 'يعتمدون', 'ناس', 'خدمي', 'المباراة', 'ضمك', 'انتهت', 'بنتيجة']",hate
المدرب مقرف والتكتيك صفر,"['المدرب', 'مقرف', 'والتكتيك', 'صفر']",hate
شكرا مسلي ال معمر رايس نادي النصر شكرا محمد ابراهيم لاعب نادي النصر شكرا فهد بن نافل رايس نادي الهلال شكرا محمد كنو لاعب نادي الهلال,"['شكرا', 'مسلي', 'ال', 'معمر', 'رايس', 'نادي', 'النصر', 'شكرا', 'محمد', 'ابراهيم', 'لاعب', 'نادي', 'النصر', 'شكرا', 'فهد', 'بن', 'نافل', 'رايس', 'نادي', 'الهلال', 'شكرا', 'محمد', 'كنو', 'لاعب', 'نادي', 'الهلال']",not
اللي يلعبون زي طاقيه يستاهلوا التشكيل الاساسي المباراة الفتح انتهت بنتيجة,"['اللي', 'يلعبون', 'زي', 'طاقيه', 'يستاهلوا', 'التشكيل', 'الاساسي', 'المباراة', 'الفتح', 'انتهت', 'بنتيجة']",hate
شوفت مذيعات قناه الاهلي ففعلا البنات ملهمش الكوره خااااالص,"['شوفت', 'مذيعات', 'قناه', 'الاهلي', 'ففعلا', 'البنات', 'ملهمش', 'الكوره', 'خااااالص']",hate
المرعب مسلي ال معمر قطع شوطا كبيرا الجلب الاعب الاسطوره ميسي الي نادي النصر السعودي وامده العقد سنتين الصيف القادم واقد ابدي ميسي وامدير اعماله تجاوبا كبير المفاوض النصراوي وزيدكم الشعر بيت عقده النصر اقل ماقدموه اله الهلال الاكن مبسي فضل النصر,"['المرعب', 'مسلي', 'ال', 'معمر', 'قطع', 'شوطا', 'كبيرا', 'الجلب', 'الاعب', 'الاسطوره', 'ميسي', 'الي', 'نادي', 'النصر', 'السعودي', 'وامده', 'العقد', 'سنتين', 'الصيف', 'القادم', 'واقد', 'ابدي', 'ميسي', 'وامدير', 'اعماله', 'تجاوبا', 'كبير', 'المفاوض', 'النصراوي', 'وزيدكم', 'الشعر', 'بيت', 'عقده', 'النصر', 'اقل', 'ماقدموه', 'اله', 'الهلال', 'الاكن', 'مبسي', 'فضل', 'النصر']",not
حمار لانك تفكر بناديك المنتخب وبعدين تعطينا نسبه الاستحواذ حطه بالي انت خابر ومين الي ضيع البلنتي ومين الي اهدالهم هدف,"['حمار', 'لانك', 'تفكر', 'بناديك', 'المنتخب', 'وبعدين', 'تعطينا', 'نسبه', 'الاستحواذ', 'حطه', 'بالي', 'انت', 'خابر', 'ومين', 'الي', 'ضيع', 'البلنتي', 'ومين', 'الي', 'اهدالهم', 'هدف']",hate
سهم طلع ام زكي اني عالميه نصراويه حقيقيه الا اني اتابع الدحروج المتلون راعي صب القهاوي القصور ديم يصف ضد شعب وامه اول عالمي انتهازي نسيت ابد تصويره ياخزياه لبنته وهي حضنه وكانها عشيقه تصوير كاس مشروب غازي انه خمر صراحه عقبها جزمه دوره مياه,"['سهم', 'طلع', 'ام', 'زكي', 'اني', 'عالميه', 'نصراويه', 'حقيقيه', 'الا', 'اني', 'اتابع', 'الدحروج', 'المتلون', 'راعي', 'صب', 'القهاوي', 'القصور', 'ديم', 'يصف', 'ضد', 'شعب', 'وامه', 'اول', 'عالمي', 'انتهازي', 'نسيت', 'ابد', 'تصويره', 'ياخزياه', 'لبنته', 'وهي', 'حضنه', 'وكانها', 'عشيقه', 'تصوير', 'كاس', 'مشروب', 'غازي', 'انه', 'خمر', 'صراحه', 'عقبها', 'جزمه', 'دوره', 'مياه']",hate
نقطه السطر او اخر السطر يتعلم مدرسه محمد بن سلمان اله يحفظه كصديق وعضيد تعجزه اداره نادي بييته,"['نقطه', 'السطر', 'او', 'اخر', 'السطر', 'يتعلم', 'مدرسه', 'محمد', 'بن', 'سلمان', 'اله', 'يحفظه', 'كصديق', 'وعضيد', 'تعجزه', 'اداره', 'نادي', 'بييته']",not
برد قلبك وليد بورديلستان المهم الجماجم فبلادكم الاصلي والمستعمرةفشمال افريقيا بغازها ونفطها راها كيما واطي والمهم الكاسيدور,"['برد', 'قلبك', 'وليد', 'بورديلستان', 'المهم', 'الجماجم', 'فبلادكم', 'الاصلي', 'والمستعمرةفشمال', 'افريقيا', 'بغازها', 'ونفطها', 'راها', 'كيما', 'واطي', 'والمهم', 'الكاسيدور']",hate
شاطرهكومبارس ازاي وانت مش متفوق عليا كورهاحنا بعتنا التهنيه اساس نادي مبادي زي مابتقولو القناه المقرفه بتاعتكو عرفتنا مبادي بتاعتكوشيكا قاعد البيت معملكوش حاجه كونت انتو بتشتمو عشان تعرفو انكو انتو الي هتموتو مش واتكلي انتي محدش قالك ترودي,"['شاطرهكومبارس', 'ازاي', 'وانت', 'مش', 'متفوق', 'عليا', 'كورهاحنا', 'بعتنا', 'التهنيه', 'اساس', 'نادي', 'مبادي', 'زي', 'مابتقولو', 'القناه', 'المقرفه', 'بتاعتكو', 'عرفتنا', 'مبادي', 'بتاعتكوشيكا', 'قاعد', 'البيت', 'معملكوش', 'حاجه', 'كونت', 'انتو', 'بتشتمو', 'عشان', 'تعرفو', 'انكو', 'انتو', 'الي', 'هتموتو', 'مش', 'واتكلي', 'انتي', 'محدش', 'قالك', 'ترودي']",hate
محاوله جماهير استفزاز رونالدو تسيا لدورينا اكثر الحركه الغير اخلاقيه يدعونها دورينا يحاول استقطاب الاعبين والجماهير تسعي الي اعطا صوره سياه لدورينا,"['محاوله', 'جماهير', 'استفزاز', 'رونالدو', 'تسيا', 'لدورينا', 'اكثر', 'الحركه', 'الغير', 'اخلاقيه', 'يدعونها', 'دورينا', 'يحاول', 'استقطاب', 'الاعبين', 'والجماهير', 'تسعي', 'الي', 'اعطا', 'صوره', 'سياه', 'لدورينا']",not
الاول بارك اجل ارحليامسلي الهلالالنصر,"['الاول', 'بارك', 'اجل', 'ارحليامسلي', 'الهلالالنصر']",not
جوفينكو هلالي اخوان جاي الدوري الكندي لايكون جايبينه بدل رهف القنون,"['جوفينكو', 'هلالي', 'اخوان', 'جاي', 'الدوري', 'الكندي', 'لايكون', 'جايبينه', 'بدل', 'رهف', 'القنون']",not
عرفنا الحين ليه تسوي مشاكل بكل نادي بالاخير طلعت كلب تفاعل,"['عرفنا', 'الحين', 'ليه', 'تسوي', 'مشاكل', 'بكل', 'نادي', 'بالاخير', 'طلعت', 'كلب', 'تفاعل']",hate
متابع للنادي يومك حيوان منوي احد يقدر يجحد تاريخ رونالدو بالنادي برضوا طريقه خروجه كانت موذيه للجمهور اكثر احد يبيها تنتهي بالشكل اختار نفسه حق مشروع بالامكان افضل اللي يقول المدرب السبب يراجع تصرفات مستويات رونالدو,"['متابع', 'للنادي', 'يومك', 'حيوان', 'منوي', 'احد', 'يقدر', 'يجحد', 'تاريخ', 'رونالدو', 'بالنادي', 'برضوا', 'طريقه', 'خروجه', 'كانت', 'موذيه', 'للجمهور', 'اكثر', 'احد', 'يبيها', 'تنتهي', 'بالشكل', 'اختار', 'نفسه', 'حق', 'مشروع', 'بالامكان', 'افضل', 'اللي', 'يقول', 'المدرب', 'السبب', 'يراجع', 'تصرفات', 'مستويات', 'رونالدو']",hate
وجود الفيصلي فاشل يجيب العار,"['وجود', 'الفيصلي', 'فاشل', 'يجيب', 'العار']",hate
عجايب البنات حبو الكوره الشباب يمدحون الفلبن الطلاب يبون الاجازه,"['عجايب', 'البنات', 'حبو', 'الكوره', 'الشباب', 'يمدحون', 'الفلبن', 'الطلاب', 'يبون', 'الاجازه']",hate
يارجال هذيك العرضيه ذكاء اللاعب غباء الدفاع اتفق معك انه جاب العيد,"['يارجال', 'هذيك', 'العرضيه', 'ذكاء', 'اللاعب', 'غباء', 'الدفاع', 'اتفق', 'معك', 'انه', 'جاب', 'العيد']",hate
اداره نادي بقياده الذهبي والتاريخي مسلي آل معمر تقدم عمل كبير بالتعاقد الاسطوره رونالدو والان التجديد الهداف تاليسكا حتي عام بدعم كامل صاحب السمو الملكي الامير خالد بن فهد حفظه اله ادعموا اداره ناديكم ورجالكم وراح يسعدونكم اكثر كونوا صف النصر,"['اداره', 'نادي', 'بقياده', 'الذهبي', 'والتاريخي', 'مسلي', 'آل', 'معمر', 'تقدم', 'عمل', 'كبير', 'بالتعاقد', 'الاسطوره', 'رونالدو', 'والان', 'التجديد', 'الهداف', 'تاليسكا', 'حتي', 'عام', 'بدعم', 'كامل', 'صاحب', 'السمو', 'الملكي', 'الامير', 'خالد', 'بن', 'فهد', 'حفظه', 'اله', 'ادعموا', 'اداره', 'ناديكم', 'ورجالكم', 'وراح', 'يسعدونكم', 'اكثر', 'كونوا', 'صف', 'النصر']",not
المدرب مسخرة والتكتيك صفر,"['المدرب', 'مسخرة', 'والتكتيك', 'صفر']",hate
مدرب المقال جمهور وادارته يريدون مني النصر جوابي امر مستحيل الهلال مدرسه كرويه منهجيه خاصه مدريد وبرشلونه وانديه اوروبا الكبيره كب عشاهم وفضحهم,"['مدرب', 'المقال', 'جمهور', 'وادارته', 'يريدون', 'مني', 'النصر', 'جوابي', 'امر', 'مستحيل', 'الهلال', 'مدرسه', 'كرويه', 'منهجيه', 'خاصه', 'مدريد', 'وبرشلونه', 'وانديه', 'اوروبا', 'الكبيره', 'كب', 'عشاهم', 'وفضحهم']",not
اللي يلعبون زي طاقيه يستاهلوا التشكيل الاساسي المباراة النصر انتهت بنتيجة,"['اللي', 'يلعبون', 'زي', 'طاقيه', 'يستاهلوا', 'التشكيل', 'الاساسي', 'المباراة', 'النصر', 'انتهت', 'بنتيجة']",hate
صاحب السمو الملكي الامير بندر بن سلطان وزير الدوله لشوون الخارجيه عادل الجبير رايس الاتحاد السعودي لكره القدم ياسر المسحل رايس نادي النصر مسلي آل معمر محافظ صندوق الاستثمارات السعودي ياسر الرميان لاعب نادي النصر كريستيانو رونالدو,"['صاحب', 'السمو', 'الملكي', 'الامير', 'بندر', 'بن', 'سلطان', 'وزير', 'الدوله', 'لشوون', 'الخارجيه', 'عادل', 'الجبير', 'رايس', 'الاتحاد', 'السعودي', 'لكره', 'القدم', 'ياسر', 'المسحل', 'رايس', 'نادي', 'النصر', 'مسلي', 'آل', 'معمر', 'محافظ', 'صندوق', 'الاستثمارات', 'السعودي', 'ياسر', 'الرميان', 'لاعب', 'نادي', 'النصر', 'كريستيانو', 'رونالدو']",not
اللاعبين خدمي يضحكون جمهورهم باللعب المباراة النصر انتهت بنتيجة,"['اللاعبين', 'خدمي', 'يضحكون', 'جمهورهم', 'باللعب', 'المباراة', 'النصر', 'انتهت', 'بنتيجة']",hate
كالعادة خدمي عندهم ذوق الكرة موسم الاخطاء المباراة الوحدة انتهت بنتيجة,"['كالعادة', 'خدمي', 'عندهم', 'ذوق', 'الكرة', 'موسم', 'الاخطاء', 'المباراة', 'الوحدة', 'انتهت', 'بنتيجة']",hate
فكرة انا انحبش الكورة انحب البنات اللي يحكن زي الشباب عالكورة التايم عندي كله عالكورة,"['فكرة', 'انا', 'انحبش', 'الكورة', 'انحب', 'البنات', 'اللي', 'يحكن', 'زي', 'الشباب', 'عالكورة', 'التايم', 'عندي', 'كله', 'عالكورة']",hate
جاب هدف العىىد,"['جاب', 'هدف', 'العىىد']",hate
الاعب بوبيندزا يضيع ضربه جزا مهمه وحاسمه لعوده الامل الدوري,"['الاعب', 'بوبيندزا', 'يضيع', 'ضربه', 'جزا', 'مهمه', 'وحاسمه', 'لعوده', 'الامل', 'الدوري']",not
تجربه مسلي آل معمر راسه برهنت بان كرسي راسه اي نادي حمل ثقيل جدا والجلوس علي كرسي الراسه معاير مختلفه والاعلامي لديه شهادات علميه وخبرات عمليه اعلاميه وداعمين يدعمونه بمات الملاين يشفع بان يدير نادي ويكون رايس ناجح,"['تجربه', 'مسلي', 'آل', 'معمر', 'راسه', 'برهنت', 'بان', 'كرسي', 'راسه', 'اي', 'نادي', 'حمل', 'ثقيل', 'جدا', 'والجلوس', 'علي', 'كرسي', 'الراسه', 'معاير', 'مختلفه', 'والاعلامي', 'لديه', 'شهادات', 'علميه', 'وخبرات', 'عمليه', 'اعلاميه', 'وداعمين', 'يدعمونه', 'بمات', 'الملاين', 'يشفع', 'بان', 'يدير', 'نادي', 'ويكون', 'رايس', 'ناجح']",not
انسان مريض اعوذ باله امنياتو ان الهلال والاتحاد مايحقون شي المشكله انو يشجع الفقر وماينشد,"['انسان', 'مريض', 'اعوذ', 'باله', 'امنياتو', 'ان', 'الهلال', 'والاتحاد', 'مايحقون', 'شي', 'المشكله', 'انو', 'يشجع', 'الفقر', 'وماينشد']",not
اساس اليساريين يحبونا وحنا اللي مانعطيهم وجه اساس الدمار الارض دول شيطانيه دين مله هدفهم السيطره المطلقه الحصانه العرقيه البيض وغير البيض ماتشفع تدافعين عنهم كانك حفيده اليزابيث يابابا عربيه واصلك عربي عشتي مليون سنه,"['اساس', 'اليساريين', 'يحبونا', 'وحنا', 'اللي', 'مانعطيهم', 'وجه', 'اساس', 'الدمار', 'الارض', 'دول', 'شيطانيه', 'دين', 'مله', 'هدفهم', 'السيطره', 'المطلقه', 'الحصانه', 'العرقيه', 'البيض', 'وغير', 'البيض', 'ماتشفع', 'تدافعين', 'عنهم', 'كانك', 'حفيده', 'اليزابيث', 'يابابا', 'عربيه', 'واصلك', 'عربي', 'عشتي', 'مليون', 'سنه']",hate
احسن جاء دوري اطقطق,"['احسن', 'جاء', 'دوري', 'اطقطق']",hate
الفتح غـبـي وخرب شي,"['الفتح', 'غـبـي', 'وخرب', 'شي']",hate
الي الاستاذ القدير رايس نادي الاستقرار الذهني لاعبين تبقي جولات مهم جدا ولايخفي بدا حروب اعلاميه علي نجومنا وبقوه لذآ تامل جماهير النصر اعطا الجانب نصيبه رعايتكم جلب متخص لانرا نجومنا تاهين وسط الملعب,"['الي', 'الاستاذ', 'القدير', 'رايس', 'نادي', 'الاستقرار', 'الذهني', 'لاعبين', 'تبقي', 'جولات', 'مهم', 'جدا', 'ولايخفي', 'بدا', 'حروب', 'اعلاميه', 'علي', 'نجومنا', 'وبقوه', 'لذآ', 'تامل', 'جماهير', 'النصر', 'اعطا', 'الجانب', 'نصيبه', 'رعايتكم', 'جلب', 'متخص', 'لانرا', 'نجومنا', 'تاهين', 'وسط', 'الملعب']",not
فريق الوحدة تافـه يستاهل,"['فريق', 'الوحدة', 'تافـه', 'يستاهل']",hate
اللاعب كسلان وخرب شي,"['اللاعب', 'كسلان', 'وخرب', 'شي']",hate
الرجا سمو الاميرخالدبن فهد ورايس نادي النصر مسلي آل معمر اعطا حقوق علي نادي النصر لعيبته السابقين فواله انهم سب التوفيق عشره ملاين تنهي معانات النصر الرجا اله سموا الامير الشهر الفضيل,"['الرجا', 'سمو', 'الاميرخالدبن', 'فهد', 'ورايس', 'نادي', 'النصر', 'مسلي', 'آل', 'معمر', 'اعطا', 'حقوق', 'علي', 'نادي', 'النصر', 'لعيبته', 'السابقين', 'فواله', 'انهم', 'سب', 'التوفيق', 'عشره', 'ملاين', 'تنهي', 'معانات', 'النصر', 'الرجا', 'اله', 'سموا', 'الامير', 'الشهر', 'الفضيل']",not
الاخ مسلي آل معمر جزاك اله خير النادي يملك لاعبين درجه الشباب قادرين علي سد النقص ماجد قشيش النمر جناح المنتخب العليوي اعطوهم فرصه خير ماشا,"['الاخ', 'مسلي', 'آل', 'معمر', 'جزاك', 'اله', 'خير', 'النادي', 'يملك', 'لاعبين', 'درجه', 'الشباب', 'قادرين', 'علي', 'سد', 'النقص', 'ماجد', 'قشيش', 'النمر', 'جناح', 'المنتخب', 'العليوي', 'اعطوهم', 'فرصه', 'خير', 'ماشا']",not
يبدو ان اداره توفق اتمام التعاقدات الشتويه المطلوبه والتعامل الظروف بالشكل الملام الثقه كبيره ومستمره برايس النادي الاستاذ ونتمني التوفيق قادم الايام,"['يبدو', 'ان', 'اداره', 'توفق', 'اتمام', 'التعاقدات', 'الشتويه', 'المطلوبه', 'والتعامل', 'الظروف', 'بالشكل', 'الملام', 'الثقه', 'كبيره', 'ومستمره', 'برايس', 'النادي', 'الاستاذ', 'ونتمني', 'التوفيق', 'قادم', 'الايام']",not
اللاعبين طاقيه يضحكون جمهورهم باللعب,"['اللاعبين', 'طاقيه', 'يضحكون', 'جمهورهم', 'باللعب']",hate
تصرفات خدمي مريبة تليق بجمهور الرياضة,"['تصرفات', 'خدمي', 'مريبة', 'تليق', 'بجمهور', 'الرياضة']",hate
الاستاذ مسلي ال معمر رايس نادي النصر العالمي يتعدا يتعدا علي الملاين عشاق العالمي علي الجميع ان يحكم عقله ان ينزلق لسانه متاهات لايحسبلها حساب,"['الاستاذ', 'مسلي', 'ال', 'معمر', 'رايس', 'نادي', 'النصر', 'العالمي', 'يتعدا', 'يتعدا', 'علي', 'الملاين', 'عشاق', 'العالمي', 'علي', 'الجميع', 'ان', 'يحكم', 'عقله', 'ان', 'ينزلق', 'لسانه', 'متاهات', 'لايحسبلها', 'حساب']",not
انبراشته علي تشاكا واله شي خدمي كبير,"['انبراشته', 'علي', 'تشاكا', 'واله', 'شي', 'خدمي', 'كبير']",not
الجمهور بلا كرامة عنده وعي,"['الجمهور', 'بلا', 'كرامة', 'عنده', 'وعي']",hate
يجب طرد المسي رونالدوا تعدا علي عادات وفضال مجتمعنا المسلم عوال واطفال تابع قنوات خارجيه تنقل الدوري الحركه القذره دخيله علي المجتع والعبه ويجب تدخل سريع الجان لطرد المتغطرس ويجب الغا عفده لمخالفته الشنيعه,"['يجب', 'طرد', 'المسي', 'رونالدوا', 'تعدا', 'علي', 'عادات', 'وفضال', 'مجتمعنا', 'المسلم', 'عوال', 'واطفال', 'تابع', 'قنوات', 'خارجيه', 'تنقل', 'الدوري', 'الحركه', 'القذره', 'دخيله', 'علي', 'المجتع', 'والعبه', 'ويجب', 'تدخل', 'سريع', 'الجان', 'لطرد', 'المتغطرس', 'ويجب', 'الغا', 'عفده', 'لمخالفته', 'الشنيعه']",not
كلام كبتن المشكله ان عندنا اعلامين نصراوين يبون مسلي ال معمر يترك النادي ويشغل نفسه بالبكيري وانا اقول خلكم منكافاتكم خلوا مسلي النصر,"['كلام', 'كبتن', 'المشكله', 'ان', 'عندنا', 'اعلامين', 'نصراوين', 'يبون', 'مسلي', 'ال', 'معمر', 'يترك', 'النادي', 'ويشغل', 'نفسه', 'بالبكيري', 'وانا', 'اقول', 'خلكم', 'منكافاتكم', 'خلوا', 'مسلي', 'النصر']",not
بلنتي واضح لهلال لهدف لشباب اله يلعيك حكم,"['بلنتي', 'واضح', 'لهلال', 'لهدف', 'لشباب', 'اله', 'يلعيك', 'حكم']",not
الدليل انك حما اصفر مسوي حساب جديد الهلال لايتشرف بهيمه مثلك يشجعونه الهلال لايشجعه الا الرجال عيال الحمايل مو عيال البهايم والمضحك علي كلامك يافقراوي تقول تخيلوا اشجع ميشال يدل علي غيااك وانكم تشجع فقط اللاعب تهتم لناديك وحتي لاعبي الهلال ماتعرف اسمااهم,"['الدليل', 'انك', 'حما', 'اصفر', 'مسوي', 'حساب', 'جديد', 'الهلال', 'لايتشرف', 'بهيمه', 'مثلك', 'يشجعونه', 'الهلال', 'لايشجعه', 'الا', 'الرجال', 'عيال', 'الحمايل', 'مو', 'عيال', 'البهايم', 'والمضحك', 'علي', 'كلامك', 'يافقراوي', 'تقول', 'تخيلوا', 'اشجع', 'ميشال', 'يدل', 'علي', 'غيااك', 'وانكم', 'تشجع', 'فقط', 'اللاعب', 'تهتم', 'لناديك', 'وحتي', 'لاعبي', 'الهلال', 'ماتعرف', 'اسمااهم']",hate
